gameType,countGrinder,countObnoxious,countWhale,countLowStakes,avgBankroll,candidateBehaviorStyle,candidateBankrollStyle,candidateBalance,deltaMood,deltaProfit
Roulette,1,0,1,0,11652.0000,LOW_STAKES,EVEN_STEVEN,1792,-0.02778966666666666,437.3333333333333
Craps,1,3,1,2,8434.1429,WHALE,HIGH_ROLLER,22767,0.0010469999999999987,8857.623333333333
Craps,0,0,0,1,219.0000,OBNOXIOUS,HIGH_ROLLER,19009,-0.201607,702.2233333333334
Craps,0,0,0,2,829.5000,WHALE,HIGH_ROLLER,13341,-0.032212333333333336,6293.783333333334
Blackjack,0,1,0,0,339.0000,GRINDER,HIGH_ROLLER,10111,-0.03330133333333333,-588.9533333333334
Poker,2,1,0,1,975.7500,OBNOXIOUS,LOW_ROLLER,225,-0.026638333333333333,70.22
Poker,5,0,0,1,7852.1667,GRINDER,HIGH_ROLLER,22037,-0.036083,3113.1633333333334
Poker,1,2,2,0,7730.0000,OBNOXIOUS,LOW_ROLLER,485,-0.0061389999999999995,165.45
Craps,1,0,0,2,2071.6667,WHALE,HIGH_ROLLER,15674,0.0038770000000000015,5963.416666666667
Poker,1,2,2,0,9743.6000,GRINDER,HIGH_ROLLER,15282,-0.111195,2130.1833333333334
Roulette,2,1,1,0,6764.7500,OBNOXIOUS,EVEN_STEVEN,1077,-0.022238666666666667,-1008.1433333333333
Poker,1,2,1,1,6391.4000,OBNOXIOUS,HIGH_ROLLER,17589,-0.020442333333333333,2667.2166666666667
Roulette,0,0,1,0,8882.0000,GRINDER,EVEN_STEVEN,978,0.11237766666666665,-1693.7266666666667
Roulette,1,2,0,0,12438.0000,WHALE,HIGH_ROLLER,18867,0.003377666666666669,3428.77
